national_number,gen,Name,primary_type,secondary_type,percent_male,percent_female,height_m,weight_kg,capture_rate,base_egg_steps,hp,attack,defense,sp_attack,sp_defense,speed,abilities_0,abilities_1,abilities_2,abilities_hidden,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,is_sublegendary,is_legendary,is_mythical,gigantamax,mega_evolution,mega_evolution_alt
45,I,Vileplume,grass,poison,50.2,49.8,1.2,18.6,45,5120,75,80,85,110,90,50,Chlorophyll,,,Effect Spore,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0,0,0,,,
46,I,Paras,bug,grass,50,50,0.3,5.4,190,5120,35,70,55,45,55,25,Effect Spore,Dry Skin,,Damp,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0,0,0,,,
47,I,Parasect,bug,grass,50,50,1.0,29.5,75,5120,60,95,80,60,80,30,Effect Spore,Dry Skin,,Damp,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0,0,0,,,
48,I,Venonat,bug,poison,50,50,1.0,30.0,190,5120,60,55,50,40,55,45,Compound Eyes,Tinted Lens,,Run Away,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,0,0,0,,,
49,I,Venomoth,bug,poison,50,50,1.5,12.5,75,5120,70,65,60,90,75,90,Shield Dust,Tinted Lens,,Wonder Skin,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,0,0,0,,,
50,I,Diglett,ground,ground,50.2,49.8,0.2,0.8,255,5120,10,55,25,35,45,95,Sand Veil,Arena Trap,,Sand Force,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0,0,0,,,
51,I,Dugtrio,ground,ground,50.2,49.8,0.7,33.3,50,5120,35,100,50,50,70,120,Sand Veil,Arena Trap,,Sand Force,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0,0,0,,,
52,I,Meowth,normal,dark,50.2,49.8,0.4,4.2,255,5120,40,45,35,40,40,90,Pickup,Technician,,Unnerve,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,Gigantamax Meowth,,
53,I,Persian,normal,dark,50.2,49.8,1.0,32.0,90,5120,65,70,60,65,65,115,Limber,Technician,,Unnerve,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,,,
54,I,Psyduck,water,,50.2,49.8,0.8,19.6,190,5120,50,52,48,65,50,55,Damp,Cloud Nine,,Swift Swim,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,,,
55,I,Golduck,water,,50.2,49.8,1.7,76.6,75,5120,80,82,78,95,80,85,Damp,Cloud Nine,,Swift Swim,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,,,
56,I,Mankey,fighting,,50,50,0.5,28.0,190,5120,40,80,35,35,45,70,Vital Spirit,Anger Point,,Defiant,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,0,0,0,,,
57,I,Primeape,fighting,,50,50,1.0,32.0,75,5120,65,105,60,60,70,95,Vital Spirit,Anger Point,,Defiant,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,0,0,0,,,
58,I,Growlithe,fire,,75.49,24.51,0.7,19.0,190,5120,55,70,45,70,50,60,Intimidate,Flash Fire,,Justified,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0,0,0,,,
59,I,Arcanine,fire,,75.49,24.51,1.9,155.0,75,5120,90,110,80,100,80,95,Intimidate,Flash Fire,,Justified,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0,0,0,,,
60,I,Poliwag,water,,50.2,49.8,0.6,12.4,255,5120,40,50,40,40,40,90,Water Absorb,Damp,,Swift Swim,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,,,
61,I,Poliwhirl,water,,50.2,49.8,1.0,20.0,120,5120,65,65,65,50,50,90,Water Absorb,Damp,,Swift Swim,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,,,
62,I,Poliwrath,water,fighting,50.2,49.8,1.3,54.0,45,5120,90,95,95,70,90,70,Water Absorb,Damp,,Swift Swim,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,0.5,2.0,0,0,0,,,
63,I,Abra,psychic,,75.49,24.51,0.9,19.5,200,5120,25,20,15,105,55,90,Synchronize,Inner Focus,,Magic Guard,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0,0,0,,,
64,I,Kadabra,psychic,,75.49,24.51,1.3,56.5,100,5120,40,35,30,120,70,105,Synchronize,Inner Focus,,Magic Guard,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0,0,0,,,
65,I,Alakazam,psychic,,75.49,24.51,1.5,48.0,50,5120,55,50,45,135,95,120,Synchronize,Inner Focus,,Magic Guard,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0,0,0,,Mega Alakazam,
66,I,Machop,fighting,,75.49,24.51,0.8,19.5,180,5120,70,80,50,35,35,35,Guts,No Guard,,Steadfast,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,0,0,0,,,
67,I,Machoke,fighting,,75.49,24.51,1.5,70.5,90,5120,80,100,70,50,60,45,Guts,No Guard,,Steadfast,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,0,0,0,,,
68,I,Machamp,fighting,,75.49,24.51,1.6,130.0,45,5120,90,130,80,65,85,55,Guts,No Guard,,Steadfast,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,0,0,0,Gigantamax Machamp,,
69,I,Bellsprout,grass,poison,50,50,0.7,4.0,255,5120,50,75,35,70,30,40,Chlorophyll,,,Gluttony,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0,0,0,,,
70,I,Weepinbell,grass,poison,50,50,1.0,6.4,120,5120,65,90,50,85,45,55,Chlorophyll,,,Gluttony,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0,0,0,,,
71,I,Victreebel,grass,poison,50,50,1.7,15.5,45,5120,80,105,65,100,70,70,Chlorophyll,,,Gluttony,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0,0,0,,,
72,I,Tentacool,water,poison,50.2,49.8,0.9,45.5,190,5120,40,40,35,50,100,70,Clear Body,Liquid Ooze,,Rain Dish,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0,0,0,,,
73,I,Tentacruel,water,poison,50.2,49.8,1.6,55.0,60,5120,80,70,65,80,120,100,Clear Body,Liquid Ooze,,Rain Dish,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0,0,0,,,
74,I,Geodude,rock,ground,50,50,0.4,20.0,255,3840,40,80,100,30,30,20,Rock Head,Sturdy,,Sand Veil,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,0,0,0,,,
75,I,Graveler,rock,ground,50,50,1.0,105.0,120,3840,55,95,115,45,45,35,Rock Head,Sturdy,,Sand Veil,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,0,0,0,,,
76,I,Golem,rock,ground,50,50,1.4,300.0,45,3840,80,120,130,55,65,45,Rock Head,Sturdy,,Sand Veil,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,0,0,0,,,
77,I,Ponyta,fire,psychic,50.2,49.8,1.0,30.0,190,5120,50,85,55,65,65,90,Run Away,Flash Fire,,Flame Body,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0,0,0,,,
78,I,Rapidash,fire,psychic,50.2,49.8,1.7,95.0,60,5120,65,100,70,80,80,105,Run Away,Flash Fire,,Flame Body,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0,0,0,,,
79,I,Slowpoke,water,psychic,50.2,49.8,1.2,36.0,190,5120,90,65,65,40,40,15,Oblivious,Own Tempo,,Regenerator,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0,0,0,0,,,
80,I,Slowbro,water,psychic,50.2,49.8,1.6,78.5,75,5120,95,75,110,100,80,30,Oblivious,Own Tempo,,Regenerator,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0,0,0,0,,Mega Slowbro,
81,I,Magnemite,electric,steel,,,0.3,6.0,190,5120,25,35,70,95,55,45,Magnet Pull,Sturdy,,Analytic,0.5,2.0,1.0,0.5,0.5,0.5,2.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,0.25,0.5,0,0,0,,,
82,I,Magneton,electric,steel,,,1.0,60.0,60,5120,50,60,95,120,70,70,Magnet Pull,Sturdy,,Analytic,0.5,2.0,1.0,0.5,0.5,0.5,2.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,0.25,0.5,0,0,0,,,
83,I,Farfetch'd,normal,flying,50.2,49.8,0.8,15.0,45,5120,52,90,55,58,62,60,Keen Eye,Inner Focus,,Defiant,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0,0,0,,,
84,I,Doduo,normal,flying,50,50,1.4,39.2,190,5120,35,85,45,35,35,75,Run Away,Early Bird,,Tangled Feet,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0,0,0,,,
85,I,Dodrio,normal,flying,50,50,1.8,85.2,45,5120,60,110,70,60,60,110,Run Away,Early Bird,,Tangled Feet,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0,0,0,,,
86,I,Seel,water,,50,50,1.1,90.0,190,5120,65,45,55,45,70,45,Thick Fat,Hydration,,Ice Body,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,,,
87,I,Dewgong,water,ice,50,50,1.7,120.0,75,5120,90,70,80,70,95,70,Thick Fat,Hydration,,Ice Body,1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0,0,0,,,
88,I,Grimer,poison,poison,50,50,0.9,30.0,190,5120,80,80,50,40,50,25,Stench,Sticky Hold,,Poison Touch,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0,0,0,,,
89,I,Muk,poison,poison,50,50,1.2,30.0,75,5120,105,105,75,65,100,50,Stench,Sticky Hold,,Poison Touch,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0,0,0,,,
90,I,Shellder,water,,50.2,49.8,0.3,4.0,190,5120,30,65,100,45,25,40,Shell Armor,Skill Link,,Overcoat,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,,,
91,I,Cloyster,water,ice,50.2,49.8,1.5,132.5,60,5120,50,95,180,85,45,70,Shell Armor,Skill Link,,Overcoat,1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0,0,0,,,
