national_number,gen,Name,primary_type,secondary_type,percent_male,percent_female,height_m,weight_kg,capture_rate,base_egg_steps,hp,attack,defense,sp_attack,sp_defense,speed,abilities_0,abilities_1,abilities_2,abilities_hidden,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,is_sublegendary,is_legendary,is_mythical,gigantamax,mega_evolution,mega_evolution_alt
644,V,Zekrom,dragon,electric,,,2.9,345.0,3,30720,100,150,120,120,100,90,Teravolt,,,,1.0,0.5,0.5,0.25,0.5,2.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,0.5,2.0,0,1,0,,,
646,V,Kyurem,dragon,ice,,,3.0,325.0,3,30720,125,130,90,130,90,95,Pressure (Standard),Teravolt (Black Kyurem),Turboblaze (White Kyurem),,1.0,1.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,0,1,0,,,
716,VI,Xerneas,fairy,,,,3.0,215.0,45,30720,126,131,95,131,98,99,Fairy Aura,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,0,1,0,,,
717,VI,Yveltal,dark,flying,,,5.8,203.0,45,30720,126,131,95,131,98,99,Dark Aura,,,,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,1.0,2.0,0,1,0,,,
718,VI,Zygarde,dragon,ground,,,5.0,305.0,3,30720,108,100,121,81,95,95,Aura Break (Standard),Power Construct (Some 10%/50%/Complete Forme),,,1.0,0.5,1.0,0.0,1.0,4.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,2.0,0,1,0,,,
789,VII,Cosmog,psychic,,,,0.2,0.1,45,30720,43,29,31,29,31,37,Unaware,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0,1,0,,,
790,VII,Cosmoem,psychic,,,,0.1,999.9,45,30720,43,29,131,29,131,37,Sturdy,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0,1,0,,,
791,VII,Solgaleo,psychic,steel,,,3.4,230.0,45,30720,137,137,107,113,89,97,Full Metal Body,,,,0.5,2.0,1.0,1.0,0.5,0.5,1.0,0.0,2.0,0.5,0.25,1.0,0.5,2.0,0.5,2.0,0.5,0.5,0,1,0,,,
792,VII,Lunala,psychic,ghost,,,4.0,120.0,45,30720,137,113,89,137,107,97,Shadow Shield,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,0.5,1.0,1.0,4.0,1.0,4.0,1.0,1.0,0,1,0,,,
800,VII,Necrozma,psychic,psychic,,,2.4,230.0,255,30720,97,107,101,127,89,79,Prism Armor,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0,1,0,,,
