national_number,gen,Name,primary_type,secondary_type,percent_male,percent_female,height_m,weight_kg,capture_rate,base_egg_steps,hp,attack,defense,sp_attack,sp_defense,speed,abilities_0,abilities_1,abilities_2,abilities_hidden,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,is_sublegendary,is_legendary,is_mythical,gigantamax,mega_evolution,mega_evolution_alt
773,VII,Silvally,normal,,,,2.3,100.5,3,30720,95,95,95,95,95,95,RKS System,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,0,0,,,
785,VII,Tapu Koko,electric,fairy,,,1.8,20.5,3,3840,70,115,85,95,75,130,Electric Surge,,,Telepathy,1.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,2.0,0.5,1.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0,1,0,0,,,
786,VII,Tapu Lele,psychic,fairy,,,1.2,18.6,3,3840,70,85,75,130,115,95,Psychic Surge,,,Telepathy,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0,1,0,0,,,
787,VII,Tapu Bulu,grass,fairy,,,1.9,45.5,3,3840,70,130,115,85,95,75,Grassy Surge,,,Telepathy,1.0,2.0,0.5,0.5,0.5,2.0,0.5,4.0,0.5,2.0,1.0,1.0,1.0,1.0,0.0,0.5,2.0,1.0,1,0,0,,,
788,VII,Tapu Fini,water,fairy,,,1.3,21.2,3,3840,70,75,115,95,130,85,Misty Surge,,,Telepathy,1.0,0.5,0.5,2.0,2.0,0.5,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0,1,0,0,,,
793,VII,Nihilego,rock,poison,,,1.2,55.5,45,30720,109,53,47,127,131,103,Beast Boost,,,,0.5,0.5,2.0,1.0,1.0,1.0,1.0,0.25,4.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1,0,0,,,
794,VII,Buzzwole,bug,fighting,,,2.4,333.6,45,30720,107,139,139,53,53,79,Beast Boost,,,,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,4.0,2.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,1,0,0,,,
795,VII,Pheromosa,bug,fighting,,,1.8,25.0,45,30720,71,137,37,137,37,151,Beast Boost,,,,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,4.0,2.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,1,0,0,,,
796,VII,Xurkitree,electric,,,,3.8,100.0,45,30720,83,89,71,173,71,83,Beast Boost,,,,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1,0,0,,,
797,VII,Celesteela,steel,flying,,,9.2,999.9,45,30720,97,101,103,107,101,61,Beast Boost,,,,0.5,2.0,1.0,2.0,0.25,1.0,1.0,0.0,0.0,0.5,0.5,0.25,1.0,1.0,0.5,1.0,0.5,0.5,1,0,0,,,
798,VII,Kartana,grass,steel,,,0.3,0.1,45,30720,59,181,131,59,31,109,Beast Boost,,,,0.5,4.0,0.5,0.5,0.25,1.0,2.0,0.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,0.5,1,0,0,,,
799,VII,Guzzlord,dark,dragon,,,5.5,888.0,45,30720,223,101,53,97,53,43,Beast Boost,,,,1.0,0.5,0.5,0.5,0.5,2.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,2.0,0.5,1.0,4.0,1,0,0,,,
803,VII,Poipole,poison,,,,0.6,1.8,45,30720,67,73,67,73,67,73,Beast Boost,,,,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1,0,0,,,
804,VII,Naganadel,poison,dragon,,,3.6,150.0,45,30720,73,73,73,127,73,121,Beast Boost,,,,1.0,0.5,0.5,0.5,0.25,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1,0,0,,,
805,VII,Stakataka,rock,steel,,,5.5,820.0,30,30720,61,131,211,53,101,13,Beast Boost,,,,0.25,1.0,2.0,1.0,1.0,0.5,4.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,1.0,0.5,1,0,0,,,
806,VII,Blacephalon,fire,ghost,,,1.8,13.0,30,30720,53,127,53,151,79,107,Beast Boost,,,,0.0,0.5,2.0,1.0,0.5,0.5,0.0,0.5,2.0,1.0,1.0,0.25,2.0,2.0,1.0,2.0,0.5,0.5,1,0,0,,,
891,VIII,Kubfu,fighting,,88.14,11.86,0.6,12.0,3,30720,60,90,60,53,50,72,Inner Focus,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,1,0,0,,,
892,VIII,Urshifu,fighting,dark,88.14,11.86,1.9,105.0,3,30720,100,130,100,63,60,97,Unseen Fist,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,0.5,0.5,1.0,0.25,1.0,4.0,1,0,0,Gigantamax Urshifu,,
894,VIII,Regieleki,electric,,,,1.2,145.0,3,30720,80,100,50,100,50,200,Transistor,,,,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1,0,0,,,
895,VIII,Regidrago,dragon,,,,2.1,200.0,3,30720,200,100,50,100,50,80,Dragon's Maw,,,,1.0,0.5,0.5,0.5,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1,0,0,,,
896,VIII,Glastrier,ice,,,,2.2,800.0,3,30720,100,145,130,65,110,30,Chilling Neigh,,,,1.0,2.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1,0,0,,,
